"(41.780155491, -87.586451255)",6415795.893747812
"(41.780200971, -87.604643297)",355651.9725257439
"(41.780211432, -87.597244425)",2723717.372316936
"(41.780226662, -87.596195666)",4072895.5235673366
"(41.780243493, -87.615319321)",7704835.162192639
"(41.780245688, -87.615231303)",274471.202443861
"(41.780245963, -87.615275297)",562946.2827507806
"(41.780247905, -87.615146952)",2846243.6457981756
"(41.780250099, -87.615058934)",287904.99493152474
"(41.780251765, -87.614886595)",641640.3939011113
"(41.780253982, -87.614802244)",3448100.7030594926
"(41.780256176, -87.614714226)",627198.4028219712
"(41.780265789, -87.614057836)",133386.6374896548
"(41.780265996, -87.614090831)",521746.5499013644
"(41.780267983, -87.613969818)",1043473.5473114466
"(41.78028604, -87.612910031)",468026.23755389464
"(41.780330981, -87.610453049)",36455.80607363931
"(41.780382249, -87.607702681)",307055.41485204955
"(41.780396105, -87.606855588)",167592.5043248794
"(41.780396221, -87.606873919)",1289274.041477046
"(41.780397667, -87.606668585)",28780.265209648227
"(41.780415378, -87.605564801)",2397375.1567706154
"(41.780415657, -87.605608794)",6508988.506398645
"(41.780417542, -87.605473116)",424573.5023378539
"(41.78041782, -87.60551711)",1187873.590710534
"(41.780419124, -87.605289779)",795128.9104624722
"(41.780419705, -87.605381432)",68134.24860749333
"(41.780423451, -87.60510641)",160319.63599731014
"(41.780428242, -87.60456373)",515469.3986335013
"(41.780430614, -87.604505041)",897350.0505702428
"(41.780440958, -87.603540663)",770094.47889748
"(41.780441912, -87.603690974)",32067.230797549837
"(41.780479805, -87.600159806)",64200.075518992686
"(41.780496518, -87.598480406)",17149.968180682194
"(41.780513747, -87.596885327)",37070.92229645298
"(41.780525994, -87.595799934)",252859.3443016225
"(41.780526088, -87.595814598)",568896.1087107065
"(41.780527914, -87.595671588)",21008.393257568147
"(41.780547737, -87.593632843)",67980.86317807854
"(41.78058339, -87.588532471)",357750.2439767304
"(41.780682383, -87.575970224)",1145302.9505367775
"(41.781165519, -87.614432757)",859389.5328614973
"(41.781192968, -87.586472214)",123610.07694749828
"(41.781205616, -87.591388757)",4754.576156094723
"(41.781212688, -87.60840094)",1.0305851920366682
"(41.781238369, -87.60595147)",932379.5267381035
"(41.781239632, -87.614435596)",1318595.9650872091
"(41.781246706, -87.591377284)",939852.5862392257
"(41.781250663, -87.6026992)",29.314423240154113
"(41.781256097, -87.614435412)",1648512.393216345
"(41.781274042, -87.605951067)",561008.8112171183
"(41.781275961, -87.613225264)",127252.5657992861
"(41.781311657, -87.613228531)",351098.70401049365
"(41.78131246, -87.605950633)",3524646.8170233206
"(41.781313746, -87.614438434)",22890.070054028427
"(41.781318509, -87.610823267)",120049.09020798064
"(41.781325219, -87.608403339)",923150.7794802473
"(41.78134101, -87.609602089)",1090395.9193406776
"(41.781376158, -87.610826287)",1029713.8608841677
"(41.78138577, -87.613231368)",875981.21014176
"(41.781387836, -87.614437607)",2290.189315637041
"(41.781392085, -87.612050702)",1749676.7827191476
"(41.781403567, -87.597846754)",21320.77508022104
"(41.781404979, -87.613231153)",338370.17532258027
"(41.781418541, -87.608405955)",1038276.9359900675
"(41.781426277, -87.614440844)",969349.5089404697
"(41.781442741, -87.61444066)",573329.8865984133
"(41.781454478, -87.601090981)",6440.699412366049
"(41.781457643, -87.607210251)",328909.66090598167
"(41.78146195, -87.614440445)",1163468.6463063112
"(41.781470028, -87.609607971)",1205469.2011046726
"(41.781473686, -87.601090762)",249923.8082642054
"(41.78147907, -87.613230324)",2775597.4889219254
"(41.781498301, -87.613233776)",569828.0153706055
"(41.781499104, -87.605955856)",4322129.669946505
"(41.781500367, -87.614440016)",1277678.3549341129
"(41.781508446, -87.609607539)",462106.35581927083
"(41.781511863, -87.60840857)",175172.40115757618
"(41.781515461, -87.599466048)",772214.106363835
"(41.781531354, -87.594666478)",967018.840528679
"(41.781534693, -87.599469495)",287396.487021354
"(41.781534778, -87.605955453)",4338607.811091444
"(41.781547537, -87.608408168)",609104.7907611472
"(41.781582109, -87.604330677)",1180310.0401040777
"(41.781582559, -87.609610372)",557346.369090918
"(41.781602442, -87.608411216)",843042.2474085793
"(41.78162165, -87.608411)",506317.1723261539
"(41.781629386, -87.614445908)",2255576.596669893
"(41.781645684, -87.596230744)",1062416.5905894404
"(41.781646505, -87.613235784)",2256596.876010009
"(41.781660068, -87.608410567)",136486.80951149977
"(41.781664892, -87.596230524)",35398.998213938605
"(41.78166509, -87.602705494)",1178994.9847716724
"(41.781669308, -87.612058594)",4034390.5133487983
"(41.78167259, -87.610833958)",565881.5897692663
"(41.78169326, -87.601095597)",263581.75303113705
"(41.781702105, -87.599471252)",104458.13977655198
"(41.781702742, -87.597854334)",640590.8287651212
"(41.781711555, -87.609612588)",516820.4958202614
"(41.781713848, -87.604332851)",37465.665052369484
"(41.781721314, -87.599471033)",1545404.6921971245
"(41.781731648, -87.587862886)",5103621.648129015
"(41.781732477, -87.593083923)",1114904.7238303644
"(41.781739006, -87.596233342)",153364.01614468958
"(41.781753672, -87.594671259)",2338651.353315808
"(41.781768753, -87.604335896)",634489.2777630347
"(41.781776219, -87.599474074)",1918390.0484403668
"(41.781776304, -87.605960056)",777098.2499804618
"(41.781776856, -87.597857154)",455644.09999997145
"(41.781807171, -87.604335461)",1266458.2594389436
"(41.781834011, -87.591381512)",1213915.4193007424
"(41.781846994, -87.594673855)",184543.11152563535
"(41.781868226, -87.586497376)",530588.4269290766
"(41.781870179, -87.597859754)",215171.47363090332
"(41.781901899, -87.594676891)",1758898.3158806593
