Date,Time,PrimaryType,Latitude,Longitude,Location
20130106,125,THEFT,41.79799511,-87.596072759,"(41.79799511, -87.596072759)"
20130106,1400,ASSAULT,41.795191528000004,-87.58815799799999,"(41.795191528, -87.588157998)"
20130106,2000,BATTERY,41.807584364,-87.61525252,"(41.807584364, -87.61525252)"
20130106,2045,ROBBERY,41.807169957,-87.612619915,"(41.807169957, -87.612619915)"
20130106,2215,BATTERY,41.806668916999996,-87.615435134,"(41.806668917, -87.615435134)"
20130106,2230,THEFT,41.799058715,-87.589081404,"(41.799058715, -87.589081404)"
20130106,2245,ASSAULT,41.807764298,-87.60244569299999,"(41.807764298, -87.602445693)"
20130107,737,BATTERY,41.781732477,-87.593083923,"(41.781732477, -87.593083923)"
20130107,820,BATTERY,41.783279429000004,-87.608447325,"(41.783279429, -87.608447325)"
20130107,1530,BATTERY,41.797936811,-87.60630177700001,"(41.797936811, -87.606301777)"
20130107,1600,ASSAULT,41.808448953,-87.612645927,"(41.808448953, -87.612645927)"
20130107,1625,BATTERY,41.781753672,-87.594671259,"(41.781753672, -87.594671259)"
20130107,1740,ROBBERY,41.781279554,-87.612048296,"(41.781279554, -87.612048296)"
20130107,2205,NARCOTICS,41.805303091,-87.603805083,"(41.805303091, -87.603805083)"
20130108,230,BATTERY,41.797215185,-87.59812807799999,"(41.797215185, -87.598128078)"
20130108,330,THEFT,41.805070858,-87.611352376,"(41.805070858, -87.611352376)"
20130108,630,MOTOR VEHICLE THEFT,41.790857624000004,-87.607771565,"(41.790857624, -87.607771565)"
20130108,900,OTHER OFFENSE,41.784754925,-87.588143196,"(41.784754925, -87.588143196)"
20130108,1230,THEFT,41.789345576,-87.593154019,"(41.789345576, -87.593154019)"
20130108,1400,DECEPTIVE PRACTICE,41.799545853000005,-87.58887405600002,"(41.799545853, -87.588874056)"
20130108,1800,ASSAULT,41.805199875999996,-87.61135826299999,"(41.805199876, -87.611358263)"
20130108,1947,BATTERY,41.802181452,-87.610530255,"(41.802181452, -87.610530255)"
20130108,2100,THEFT,41.805013233000004,-87.61135302299999,"(41.805013233, -87.611353023)"
20130109,2,CRIMINAL DAMAGE,41.809104714,-87.604363507,"(41.809104714, -87.604363507)"
20130109,330,THEFT,41.804977559,-87.611353424,"(41.804977559, -87.611353424)"
20130109,1115,THEFT,41.782348043,-87.595775387,"(41.782348043, -87.595775387)"
20130109,1308,ROBBERY,41.796552954,-87.58397983100002,"(41.796552954, -87.583979831)"
20130109,1430,MOTOR VEHICLE THEFT,41.803119598,-87.609595454,"(41.803119598, -87.609595454)"
20130109,1700,MOTOR VEHICLE THEFT,41.80085882,-87.602307786,"(41.80085882, -87.602307786)"
20130109,1900,MOTOR VEHICLE THEFT,41.797936811,-87.60630177700001,"(41.797936811, -87.606301777)"
20130109,2010,OTHER OFFENSE,41.807499342,-87.59023448200001,"(41.807499342, -87.590234482)"
20130109,2030,MOTOR VEHICLE THEFT,41.805422422,-87.58650264,"(41.805422422, -87.58650264)"
20130109,2055,ROBBERY,41.80861038,-87.60387393200001,"(41.80861038, -87.603873932)"
20130109,2115,THEFT,41.802444779,-87.589871109,"(41.802444779, -87.589871109)"
20130109,2230,MOTOR VEHICLE THEFT,41.799204348,-87.584044296,"(41.799204348, -87.584044296)"
20130109,2235,ROBBERY,41.781462605,-87.61323050899998,"(41.781462605, -87.613230509)"
20130109,2245,ROBBERY,41.781275961,-87.613225264,"(41.781275961, -87.613225264)"
20130110,240,BATTERY,41.79462520000001,-87.582524405,"(41.7946252, -87.582524405)"
20130110,1020,THEFT,41.798784161,-87.599727485,"(41.798784161, -87.599727485)"
20130110,1110,OTHER OFFENSE,41.780268419,-87.614039475,"(41.780268419, -87.614039475)"
20130110,1200,OTHER OFFENSE,41.781629386,-87.614445908,"(41.781629386, -87.614445908)"
20130110,1430,THEFT,41.781821553,-87.586494251,"(41.781821553, -87.586494251)"
20130110,1630,BATTERY,41.788519879,-87.606096507,"(41.788519879, -87.606096507)"
20130110,1800,BURGLARY,41.806933706,-87.604318429,"(41.806933706, -87.604318429)"
20130110,1830,BATTERY,41.791044692,-87.59024121200001,"(41.791044692, -87.590241212)"
20130110,1955,DECEPTIVE PRACTICE,41.799533674,-87.58995977100003,"(41.799533674, -87.589959771)"
20130110,2005,BATTERY,41.783424215,-87.609648327,"(41.783424215, -87.609648327)"
20130110,2230,CRIMINAL DAMAGE,41.805912213,-87.605085586,"(41.805912213, -87.605085586)"
