"(41.781731648, -87.587862886)",4977805.03103
"(41.795248259, -87.582121072)",320991.216838
"(41.804055179, -87.607820743)",74.2021338266
"(41.782160628, -87.591388746)",654571.976499
"(41.783448947, -87.596272423)",973647.077819
"(41.783674009, -87.596277178)",3584006.14801
"(41.807724651, -87.605710618)",411715.978737
"(41.803667488, -87.590528166)",14274157.4465
"(41.797191425, -87.603871416)",6541.00970439
"(41.788699253, -87.604954085)",8267777.0077
"(41.805341531, -87.603808314)",5698129.11572
"(41.780331258, -87.610497042)",772439.289228
"(41.783653002, -87.594715458)",234788.204723
"(41.805712894, -87.583909777)",350747.074068
"(41.781579267, -87.61083134)",1338.50114552
"(41.782990756, -87.614478366)",1325913.17721
"(41.782396663, -87.590968044)",88507.8013868
"(41.809095947, -87.601689615)",127693.627634
"(41.807062701, -87.604320635)",49729.2853092
"(41.808671855, -87.611432988)",309459.312067
"(41.785111677, -87.610912681)",535624.81088
"(41.781256752, -87.613225479)",500432.559507
"(41.783506006, -87.597896058)",285460.933521
"(41.782890414, -87.588813761)",449360.736594
"(41.780336744, -87.610060681)",250540.756638
"(41.781793321, -87.597856966)",320435.216127
"(41.805869465, -87.585195364)",1941837.09254
"(41.805283001, -87.583636034)",43037.752912
"(41.784101529, -87.602197509)",14833.6134521
"(41.78041782, -87.60551711)",2434009.88388
"(41.804244531, -87.591067995)",282472.465483
"(41.801895518, -87.58769156)",4293634.56193
"(41.79340561, -87.5848746)",3701736.79369
"(41.801759797, -87.60287336)",455270.59875
"(41.804182399, -87.596335594)",184410.910347
"(41.783134908, -87.6059887)",200429.238732
"(41.802415236, -87.592519489)",2511047.15757
"(41.798462192, -87.603897346)",621198.393089
"(41.796851, -87.603882)",6541.00970439
"(41.805238294, -87.611357832)",528803.338867
"(41.800795006, -87.60133661)",1151912.122
"(41.780294372, -87.612488304)",364584.025758
"(41.781629386, -87.614445908)",2673707.02352
"(41.803754843, -87.583697861)",1925145.64888
"(41.805808965, -87.6122097)",34507.5706502
"(41.805850423, -87.609638077)",143804.078884
"(41.800472566, -87.602847637)",398562.84895
"(41.801709383, -87.596697686)",3122775.50333
"(41.807579953, -87.615424963)",322373.804128
"(41.783149, -87.594722)",131414.126059
"(41.802869042, -87.60642207)",1224326.61993
"(41.781575986, -87.612055973)",58328.2305053
"(41.783829393, -87.587611258)",1242691.47629
"(41.781325219, -87.608403339)",2134190.55119
"(41.806277622, -87.61386232)",1615856.78416
"(41.803136895, -87.6084216)",858496.55942
"(41.808784386, -87.611435392)",10408.9104396
"(41.799533271, -87.589897429)",1275009.2538
"(41.781534778, -87.605955453)",4404552.43832
"(41.805336787, -87.599186925)",18149.406798
"(41.808747436, -87.613856692)",3433475.41095
"(41.798778621, -87.595007556)",9696.77607187
"(41.805328146, -87.613869275)",720199.441137
"(41.783302236, -87.599504338)",576325.05344
"(41.78329139, -87.612091747)",995535.819849
"(41.807235907, -87.591935773)",113989.650062
"(41.799108004, -87.595018445)",1062966.46504
"(41.805238659, -87.610107106)",40110.8909667
"(41.781646505, -87.613235784)",1432288.77799
"(41.783194497, -87.613269795)",1791963.86883
"(41.783287819, -87.613272418)",877982.892858
"(41.781625079, -87.607215695)",395661.522615
"(41.805366666, -87.60647453)",1187951.60028
"(41.781527654, -87.609607323)",510816.220609
"(41.796917736, -87.594966571)",117900.377337
"(41.805469168, -87.586094969)",364169.816393
"(41.781602442, -87.608411216)",2489573.36922
"(41.795967362, -87.582556415)",195346.278056
"(41.799160725, -87.590426181)",743588.056777
"(41.793009509, -87.601340857)",33946.331131
"(41.78116343, -87.613222857)",76150.8559153
"(41.801870151, -87.598232575)",53801.2419124
"(41.781376158, -87.610826287)",423746.915759
"(41.787662033, -87.596367171)",263811.201373
"(41.796958327, -87.596587066)",670416.164614
"(41.804990375, -87.588855044)",93269.7920308
"(41.808981361, -87.606551046)",17662164.8702
"(41.781404979, -87.613231153)",575762.640199
"(41.808876408, -87.613855249)",371288.698116
"(41.782952338, -87.614478795)",155270.369731
"(41.784153537, -87.597448666)",275184.167005
"(41.806370921, -87.613861276)",659191.231094
"(41.781274042, -87.605951067)",248871.151373
"(41.797529696, -87.582684874)",2847.22061193
"(41.783439617, -87.612097419)",322230.524158
"(41.782297351, -87.600289427)",264910.893028
"(41.796286607, -87.589021796)",144003.726138
"(41.807067906, -87.603843747)",10368344.2303
"(41.795191789, -87.588198334)",790212.103021
"(41.798162977, -87.582585799)",112540.131989
"(41.782266947, -87.602409009)",583876.06526
"(41.805282102, -87.588983707)",97805.3402062
"(41.794669471, -87.587635968)",261692.604492
"(41.805211965, -87.585789862)",2331795.24219
"(41.781531756, -87.607213081)",511970.41877
"(41.781369283, -87.613227886)",888033.016514
"(41.79955117, -87.588001134)",417209.513103
"(41.802321291, -87.600549034)",1501199.88744
"(41.800084293, -87.603933963)",241005.954206
"(41.804900046, -87.613870397)",198292.663865
"(41.781088661, -87.614429949)",533821.086403
"(41.782081122, -87.615152161)",2477036.1286
"(41.796767208, -87.57939685)",93248.1497417
"(41.803253104, -87.604235452)",550307.586739
"(41.802115448, -87.58775136)",1641236.86254
"(41.803117709, -87.60973118)",177554.885103
"(41.794828373, -87.580442725)",4406991.74759
"(41.782198085, -87.607997526)",658559.682763
"(41.806723142, -87.611388844)",463.763336417
"(41.806758216, -87.606506483)",414964.555026
"(41.804049749, -87.6082646)",285156.452852
"(41.784192399, -87.593671617)",13947.3674417
"(41.802181452, -87.610530255)",203898.302998
"(41.802370227, -87.59618765)",1018379.51357
"(41.785034842, -87.610913544)",861401.750449
